Pueblos_actualizados,lat,lon
Pallpata,-14.9441364,-71.0799121
CC Huancuire,-14.2067884,-72.2892829
Chuquibambilla,-14.1054248,-72.7079361
Cotabambas,-14.0,-72.2
Tambobamba,-13.9461814,-72.1745097
CP Tupac Amaru,-8.5176877,-77.5556621
Llata,-9.5499479,-76.8156098
CP Quishuar corral,-7.0237465,-78.5327962
Colquemarca,-14.2846792,-72.0407386
CC Cruzpampa,,
Chumbivilcas,-14.4174733,-72.0000172
Cancahuani,-14.0994616,-72.0360029
Colquemarca,-14.2846792,-72.0407386
Ccahuapirhua,-14.1396876,-72.349849
Juliaca,,
CP Chicñahui,-14.1115342,-72.343262
CP El Alumbre,-6.8866987,-78.4174812
CC Aquia,-10.0745004,-77.1447485
CC Pumamarca,-14.0280745,-72.2560634
CP Totoracocha,-6.8990542,-78.451953
CP San Jose,-6.2945372,-78.4815066
CP Aliso Colorado,-7.0599001,-78.5255031
CP Racrachaca,-10.0455099,-77.1312511
CP La Ramada,-6.2120596,-78.5602617
CC Urinsaya,-14.7350107,-71.6284817
Vvelille,,
Bambamarca,-6.68221,-78.5201491
CP Chacapampa,,
CP Ccollana,-13.3757218,-72.1094981
CP Urasana,-14.4499532,-71.8230182
CP Cullahuata,-14.5763533,-71.9259644
CC Chila,-14.1309186,-72.2212701
CC Chuicuni,-14.0995488,-72.3093108
CP Casa Blanca,-14.4680015,-71.8692488
CP Tuntuma,-14.4702534,-71.9304373
CP Ayaccasi,-14.4160187,-71.8871981
CC Choaquere,-14.1544316,-72.237646
Chalhuahuacho,-14.1146406,-72.247905
CP Machcan,-10.5449248,-76.2224592
CP Pichiu Quinhuaragra,-9.6605395,-77.1854494
CP El Batán,-5.5308387,-79.0023914
CP Choaquere,-14.1544316,-72.237646
CP Nueva Fuerabamba,-14.1363247,-72.2268432
CP Cullhuay,,
Coporaque,-14.8007408,-71.5317853
CP Minascucho,-14.1346964,-72.1864475
CP Chila,-14.1309186,-72.2212701
Cumbancha Alta,,
San Pablo de Ticlacayán,-10.5339105,-76.1649268
PACHACHACA Yauli,-11.6185635,-76.0195596
Rondos Lauricocha,,
Ciudad de Huaraz,-9.5165086,-77.5250741
Mejía Islay,-17.1024574,-71.9066384
Valle de Tambo,-17.1027538,-71.7821671
San Francisco de Asis de Pucara,-11.5945906,-76.0826442
CP Chanta Alta,-6.863196,-78.4805059
CP Ingatambo,-6.9260674,-78.6629543
CP Vilavilani,-17.8496274,-69.9061802
CP CARHUAQUERO,-7.143264,-78.5877586
CC Chinchán,-10.4747417,-76.1519425
CP Otuzco,-7.1238301,-78.4543562
CP Lagunas,-6.1669605,-78.8606411
CP Yanacanchilla Alta,-6.8309398,-78.5486841
CP Negritos,-6.8597232,-78.5411739
Encañada Cajamarca,-6.9816201,-78.4079551
CP San Cirilo,-6.8854899,-78.5785946
CP Choropampa,-6.3720964,-78.377002
CP Magdalena,-7.2246172,-78.6311663
San Juan,-7.2917583,-78.4975638
Mejia,-17.1024574,-71.9066384
Punta de Bombón,-17.1721359,-71.7905267
Valle de Tambo,-17.1027538,-71.7821671
CC Pamputa,-13.9853954,-72.3760715
Ticlacayán,-10.6065401,-76.083933
CP Chasquitambo,-10.3123621,-77.6148599
CP Huayllay,-11.0022598,-76.3647877
San Francisco de Asis de Yarusyacan,-10.5487072,-76.2330092
CC Tuntuma,-14.4702534,-71.9304373
Yauri,-14.7930081,-71.412802
CP Challhuahuacho,,
Ccapacmarca,-14.0078956,-71.9964358
Velille,-14.5101172,-71.8846039
Pachachaca,-7.0841306,-78.1436611
Joraoniyoc,-10.5791368,-76.2324867
Nacional,-12.8649681,-72.6933186
Huambocancha,-7.105785,-78.541526
CP Llushcapampa Baja,-7.0926321,-78.521949
Coimolache,-7.1599293,-78.5099807
CP Bellavista Alta,-7.0203657,-78.423768
CP Combayo,-7.0313593,-78.4140125
Choropampa,-6.3720964,-78.377002
San Juan,-7.2917583,-78.4975638
Quilish,-7.0709393,-78.5605401
CP LLanomayo,-7.0872101,-78.5387103
Coimolache,-7.1599293,-78.5099807
CP Huaripampa Baja,-9.5033732,-77.1457181
CP Huaripampa Alto,-9.5013823,-77.1380564
CP Huaripampa Central,-9.5040201,-77.1409593
CP Urinsaya,-14.7350107,-71.6284817
